2024-12-05 02:35:54,281 p=1579080 u=root n=ansible | TASK [echo -n > output.log] *************************************************************************************************************************************************************************
2024-12-05 02:37:59,174 p=1579080 u=root n=ansible | changed: [localhost] => (item=3.0.7)
2024-12-05 02:37:59,447 p=1579080 u=root n=ansible | changed: [localhost] => (item=3.0.8)
2024-12-05 02:37:59,706 p=1579080 u=root n=ansible | changed: [localhost] => (item=3.1.0)
2024-12-05 02:37:59,961 p=1579080 u=root n=ansible | changed: [localhost] => (item=3.1.1)
2024-12-05 02:38:00,236 p=1579080 u=root n=ansible | changed: [localhost] => (item=3.1.3)
2024-12-05 02:38:00,494 p=1579080 u=root n=ansible | changed: [localhost] => (item=3.1.4)
2024-12-05 02:38:00,761 p=1579080 u=root n=ansible | changed: [localhost] => (item=3.1.5)
2024-12-05 02:38:01,019 p=1579080 u=root n=ansible | changed: [localhost] => (item=3.1.7)
2024-12-05 02:38:01,280 p=1579080 u=root n=ansible | changed: [localhost] => (item=3.2.0)
2024-12-05 02:38:01,575 p=1579080 u=root n=ansible | changed: [localhost] => (item=3.2.2)
2024-12-05 02:38:01,870 p=1579080 u=root n=ansible | changed: [localhost] => (item=3.2.4)
2024-12-05 02:38:02,165 p=1579080 u=root n=ansible | changed: [localhost] => (item=3.2.5)
2024-12-05 02:38:02,458 p=1579080 u=root n=ansible | changed: [localhost] => (item=3.2.7)
2024-12-05 02:38:02,747 p=1579080 u=root n=ansible | changed: [localhost] => (item=3.3.0)
2024-12-05 02:38:03,038 p=1579080 u=root n=ansible | changed: [localhost] => (item=3.3.1)
2024-12-05 02:38:03,394 p=1579080 u=root n=ansible | changed: [localhost] => (item=3.3.2)
2024-12-05 02:38:03,733 p=1579080 u=root n=ansible | changed: [localhost] => (item=3.3.3)
2024-12-05 02:38:04,015 p=1579080 u=root n=ansible | changed: [localhost] => (item=3.3.5)
2024-12-05 02:38:04,290 p=1579080 u=root n=ansible | changed: [localhost] => (item=3.4.0)
2024-12-05 02:38:04,602 p=1579080 u=root n=ansible | changed: [localhost] => (item=3.4.1)
2024-12-05 02:38:04,872 p=1579080 u=root n=ansible | changed: [localhost] => (item=3.4.3)
2024-12-05 02:38:05,136 p=1579080 u=root n=ansible | changed: [localhost] => (item=3.4.5)
2024-12-05 02:38:05,406 p=1579080 u=root n=ansible | changed: [localhost] => (item=3.5.0)
2024-12-05 02:38:05,712 p=1579080 u=root n=ansible | changed: [localhost] => (item=3.5.1)
2024-12-05 02:38:06,022 p=1579080 u=root n=ansible | changed: [localhost] => (item=3.6.0)
2024-12-05 02:38:06,302 p=1579080 u=root n=ansible | changed: [localhost] => (item=3.6.1)
2024-12-05 02:38:06,594 p=1579080 u=root n=ansible | changed: [localhost] => (item=3.7.0)
2024-12-05 02:38:06,867 p=1579080 u=root n=ansible | changed: [localhost] => (item=3.7.1)
2024-12-05 02:38:07,132 p=1579080 u=root n=ansible | changed: [localhost] => (item=3.7.2)
2024-12-05 02:38:07,430 p=1579080 u=root n=ansible | changed: [localhost] => (item=3.7.3)
2024-12-05 02:38:07,691 p=1579080 u=root n=ansible | changed: [localhost] => (item=3.7.4)
2024-12-05 02:38:08,004 p=1579080 u=root n=ansible | changed: [localhost] => (item=3.8.0)
2024-12-05 02:38:08,271 p=1579080 u=root n=ansible | changed: [localhost] => (item=3.8.1)
2024-12-05 02:38:08,552 p=1579080 u=root n=ansible | changed: [localhost] => (item=3.9.1)
2024-12-05 02:38:08,821 p=1579080 u=root n=ansible | changed: [localhost] => (item=3.9.2)
2024-12-05 02:38:09,113 p=1579080 u=root n=ansible | changed: [localhost] => (item=3.10.0)
2024-12-05 02:38:09,372 p=1579080 u=root n=ansible | changed: [localhost] => (item=3.10.2)
2024-12-05 02:38:09,630 p=1579080 u=root n=ansible | changed: [localhost] => (item=3.10.3)
2024-12-05 02:38:09,889 p=1579080 u=root n=ansible | changed: [localhost] => (item=3.10.4)
2024-12-05 02:38:10,141 p=1579080 u=root n=ansible | changed: [localhost] => (item=3.11.0)
2024-12-05 02:38:10,398 p=1579080 u=root n=ansible | changed: [localhost] => (item=3.11.1)
2024-12-05 02:38:10,678 p=1579080 u=root n=ansible | changed: [localhost] => (item=3.11.2)
2024-12-05 02:38:10,957 p=1579080 u=root n=ansible | changed: [localhost] => (item=3.11.3)
2024-12-05 02:38:11,214 p=1579080 u=root n=ansible | changed: [localhost] => (item=3.11.4)
2024-12-05 02:38:11,489 p=1579080 u=root n=ansible | changed: [localhost] => (item=3.11.6)
2024-12-05 02:38:12,145 p=1579080 u=root n=ansible | TASK [atlassian.bitbucket : Copy .env with link from template to each version directory] ************************************************************************************************************
2024-12-05 02:38:12,146 p=1579080 u=root n=ansible | changed: [localhost] => (item=3.0.1)
2024-12-05 02:38:12,648 p=1579080 u=root n=ansible | changed: [localhost] => (item=3.0.4)
2024-12-05 02:38:13,175 p=1579080 u=root n=ansible | changed: [localhost] => (item=3.0.5)
2024-12-05 02:38:13,673 p=1579080 u=root n=ansible | changed: [localhost] => (item=3.0.6)
2024-12-05 02:38:14,179 p=1579080 u=root n=ansible | changed: [localhost] => (item=3.0.7)
2024-12-05 02:38:14,663 p=1579080 u=root n=ansible | changed: [localhost] => (item=3.0.8)
2024-12-05 02:38:15,189 p=1579080 u=root n=ansible | changed: [localhost] => (item=3.1.0)
2024-12-05 02:38:15,706 p=1579080 u=root n=ansible | changed: [localhost] => (item=3.1.1)
2024-12-05 02:38:16,293 p=1579080 u=root n=ansible | changed: [localhost] => (item=3.1.3)
2024-12-05 02:38:16,781 p=1579080 u=root n=ansible | changed: [localhost] => (item=3.1.4)
2024-12-05 02:38:17,263 p=1579080 u=root n=ansible | changed: [localhost] => (item=3.1.5)
2024-12-05 02:38:17,745 p=1579080 u=root n=ansible | changed: [localhost] => (item=3.1.7)
2024-12-05 02:38:18,229 p=1579080 u=root n=ansible | changed: [localhost] => (item=3.2.0)
2024-12-05 02:38:18,756 p=1579080 u=root n=ansible | changed: [localhost] => (item=3.2.2)
2024-12-05 02:38:19,239 p=1579080 u=root n=ansible | changed: [localhost] => (item=3.2.4)
2024-12-05 02:38:19,730 p=1579080 u=root n=ansible | changed: [localhost] => (item=3.2.5)
2024-12-05 02:38:20,215 p=1579080 u=root n=ansible | changed: [localhost] => (item=3.2.7)
2024-12-05 02:38:20,697 p=1579080 u=root n=ansible | changed: [localhost] => (item=3.3.0)
2024-12-05 02:38:21,220 p=1579080 u=root n=ansible | changed: [localhost] => (item=3.3.1)
2024-12-05 02:38:21,709 p=1579080 u=root n=ansible | changed: [localhost] => (item=3.3.2)
2024-12-05 02:38:22,199 p=1579080 u=root n=ansible | changed: [localhost] => (item=3.3.3)
2024-12-05 02:38:22,705 p=1579080 u=root n=ansible | changed: [localhost] => (item=3.3.5)
2024-12-05 02:38:23,222 p=1579080 u=root n=ansible | changed: [localhost] => (item=3.4.0)
2024-12-05 02:38:23,714 p=1579080 u=root n=ansible | changed: [localhost] => (item=3.4.1)
2024-12-05 02:38:24,255 p=1579080 u=root n=ansible | changed: [localhost] => (item=3.4.3)
2024-12-05 02:38:24,751 p=1579080 u=root n=ansible | changed: [localhost] => (item=3.4.5)
2024-12-05 02:38:25,264 p=1579080 u=root n=ansible | changed: [localhost] => (item=3.5.0)
2024-12-05 02:38:25,754 p=1579080 u=root n=ansible | changed: [localhost] => (item=3.5.1)
2024-12-05 02:38:26,260 p=1579080 u=root n=ansible | changed: [localhost] => (item=3.6.0)
2024-12-05 02:38:26,773 p=1579080 u=root n=ansible | changed: [localhost] => (item=3.6.1)
2024-12-05 02:38:27,277 p=1579080 u=root n=ansible | changed: [localhost] => (item=3.7.0)
2024-12-05 02:38:27,885 p=1579080 u=root n=ansible | changed: [localhost] => (item=3.7.1)
2024-12-05 02:38:28,458 p=1579080 u=root n=ansible | changed: [localhost] => (item=3.7.2)
2024-12-05 02:38:28,948 p=1579080 u=root n=ansible | changed: [localhost] => (item=3.7.3)
2024-12-05 02:38:29,452 p=1579080 u=root n=ansible | changed: [localhost] => (item=3.7.4)
2024-12-05 02:38:29,938 p=1579080 u=root n=ansible | changed: [localhost] => (item=3.8.0)
2024-12-05 02:38:30,430 p=1579080 u=root n=ansible | changed: [localhost] => (item=3.8.1)
2024-12-05 02:38:30,919 p=1579080 u=root n=ansible | changed: [localhost] => (item=3.9.1)
2024-12-05 02:38:31,419 p=1579080 u=root n=ansible | changed: [localhost] => (item=3.9.2)
2024-12-05 02:38:31,901 p=1579080 u=root n=ansible | changed: [localhost] => (item=3.10.0)
2024-12-05 02:38:32,407 p=1579080 u=root n=ansible | changed: [localhost] => (item=3.10.2)
2024-12-05 02:38:32,959 p=1579080 u=root n=ansible | changed: [localhost] => (item=3.10.3)
2024-12-05 02:38:33,460 p=1579080 u=root n=ansible | changed: [localhost] => (item=3.10.4)
2024-12-05 02:38:33,940 p=1579080 u=root n=ansible | changed: [localhost] => (item=3.11.0)
2024-12-05 02:38:34,447 p=1579080 u=root n=ansible | changed: [localhost] => (item=3.11.1)
2024-12-05 02:38:34,927 p=1579080 u=root n=ansible | changed: [localhost] => (item=3.11.2)
2024-12-05 02:38:35,415 p=1579080 u=root n=ansible | changed: [localhost] => (item=3.11.3)
2024-12-05 02:38:35,927 p=1579080 u=root n=ansible | changed: [localhost] => (item=3.11.4)
2024-12-05 02:38:36,431 p=1579080 u=root n=ansible | changed: [localhost] => (item=3.11.6)
2024-12-05 02:38:36,980 p=1579080 u=root n=ansible | TASK [atlassian.bitbucket : Copy docker-compose.yml from template to each version directory] ********************************************************************************************************
2024-12-05 02:38:36,981 p=1579080 u=root n=ansible | changed: [localhost] => (item=3.0.1)
2024-12-05 02:38:37,482 p=1579080 u=root n=ansible | changed: [localhost] => (item=3.0.4)
2024-12-05 02:38:37,977 p=1579080 u=root n=ansible | changed: [localhost] => (item=3.0.5)
2024-12-05 02:38:38,450 p=1579080 u=root n=ansible | changed: [localhost] => (item=3.0.6)
2024-12-05 02:38:38,935 p=1579080 u=root n=ansible | changed: [localhost] => (item=3.0.7)
2024-12-05 02:38:39,419 p=1579080 u=root n=ansible | changed: [localhost] => (item=3.0.8)
2024-12-05 02:38:39,917 p=1579080 u=root n=ansible | changed: [localhost] => (item=3.1.0)
2024-12-05 02:38:40,394 p=1579080 u=root n=ansible | changed: [localhost] => (item=3.1.1)
2024-12-05 02:38:40,870 p=1579080 u=root n=ansible | changed: [localhost] => (item=3.1.3)
2024-12-05 02:38:41,369 p=1579080 u=root n=ansible | changed: [localhost] => (item=3.1.4)
2024-12-05 02:38:41,859 p=1579080 u=root n=ansible | changed: [localhost] => (item=3.1.5)
2024-12-05 02:38:42,349 p=1579080 u=root n=ansible | changed: [localhost] => (item=3.1.7)
2024-12-05 02:38:42,840 p=1579080 u=root n=ansible | changed: [localhost] => (item=3.2.0)
2024-12-05 02:38:43,325 p=1579080 u=root n=ansible | changed: [localhost] => (item=3.2.2)
2024-12-05 02:38:43,819 p=1579080 u=root n=ansible | changed: [localhost] => (item=3.2.4)
2024-12-05 02:38:44,329 p=1579080 u=root n=ansible | changed: [localhost] => (item=3.2.5)
2024-12-05 02:38:44,841 p=1579080 u=root n=ansible | changed: [localhost] => (item=3.2.7)
2024-12-05 02:38:45,377 p=1579080 u=root n=ansible | changed: [localhost] => (item=3.3.0)
2024-12-05 02:38:45,869 p=1579080 u=root n=ansible | changed: [localhost] => (item=3.3.1)
2024-12-05 02:38:46,356 p=1579080 u=root n=ansible | changed: [localhost] => (item=3.3.2)
2024-12-05 02:38:46,849 p=1579080 u=root n=ansible | changed: [localhost] => (item=3.3.3)
2024-12-05 02:38:47,333 p=1579080 u=root n=ansible | changed: [localhost] => (item=3.3.5)
2024-12-05 02:38:47,833 p=1579080 u=root n=ansible | changed: [localhost] => (item=3.4.0)
2024-12-05 02:38:48,327 p=1579080 u=root n=ansible | changed: [localhost] => (item=3.4.1)
2024-12-05 02:38:48,824 p=1579080 u=root n=ansible | changed: [localhost] => (item=3.4.3)
2024-12-05 02:38:49,306 p=1579080 u=root n=ansible | changed: [localhost] => (item=3.4.5)
2024-12-05 02:38:49,798 p=1579080 u=root n=ansible | changed: [localhost] => (item=3.5.0)
2024-12-05 02:38:50,284 p=1579080 u=root n=ansible | changed: [localhost] => (item=3.5.1)
2024-12-05 02:38:50,774 p=1579080 u=root n=ansible | changed: [localhost] => (item=3.6.0)
2024-12-05 02:38:51,304 p=1579080 u=root n=ansible | changed: [localhost] => (item=3.6.1)
2024-12-05 02:38:51,780 p=1579080 u=root n=ansible | changed: [localhost] => (item=3.7.0)
2024-12-05 02:38:52,263 p=1579080 u=root n=ansible | changed: [localhost] => (item=3.7.1)
2024-12-05 02:38:52,748 p=1579080 u=root n=ansible | changed: [localhost] => (item=3.7.2)
2024-12-05 02:38:53,238 p=1579080 u=root n=ansible | changed: [localhost] => (item=3.7.3)
2024-12-05 02:38:53,720 p=1579080 u=root n=ansible | changed: [localhost] => (item=3.7.4)
2024-12-05 02:38:54,211 p=1579080 u=root n=ansible | changed: [localhost] => (item=3.8.0)
2024-12-05 02:38:54,703 p=1579080 u=root n=ansible | changed: [localhost] => (item=3.8.1)
2024-12-05 02:38:55,205 p=1579080 u=root n=ansible | changed: [localhost] => (item=3.9.1)
2024-12-05 02:38:55,696 p=1579080 u=root n=ansible | changed: [localhost] => (item=3.9.2)
2024-12-05 02:38:56,202 p=1579080 u=root n=ansible | changed: [localhost] => (item=3.10.0)
2024-12-05 02:38:56,715 p=1579080 u=root n=ansible | changed: [localhost] => (item=3.10.2)
2024-12-05 02:38:57,204 p=1579080 u=root n=ansible | changed: [localhost] => (item=3.10.3)
2024-12-05 02:38:57,709 p=1579080 u=root n=ansible | changed: [localhost] => (item=3.10.4)
2024-12-05 02:38:58,211 p=1579080 u=root n=ansible | changed: [localhost] => (item=3.11.0)
2024-12-05 02:38:58,716 p=1579080 u=root n=ansible | changed: [localhost] => (item=3.11.1)
2024-12-05 02:38:59,213 p=1579080 u=root n=ansible | changed: [localhost] => (item=3.11.2)
2024-12-05 02:38:59,697 p=1579080 u=root n=ansible | changed: [localhost] => (item=3.11.3)
2024-12-05 02:39:00,207 p=1579080 u=root n=ansible | changed: [localhost] => (item=3.11.4)
2024-12-05 02:39:00,751 p=1579080 u=root n=ansible | changed: [localhost] => (item=3.11.6)
2024-12-05 02:39:01,403 p=1579080 u=root n=ansible | TASK [atlassian.bitbucket : Copy Dockerfile from template to each version directory] ****************************************************************************************************************
2024-12-05 02:39:01,403 p=1579080 u=root n=ansible | changed: [localhost] => (item=3.0.1)
2024-12-05 02:39:01,972 p=1579080 u=root n=ansible | changed: [localhost] => (item=3.0.4)
2024-12-05 02:39:02,533 p=1579080 u=root n=ansible | changed: [localhost] => (item=3.0.5)
2024-12-05 02:39:03,199 p=1579080 u=root n=ansible | changed: [localhost] => (item=3.0.6)
2024-12-05 02:39:03,722 p=1579080 u=root n=ansible | changed: [localhost] => (item=3.0.7)
2024-12-05 02:39:04,242 p=1579080 u=root n=ansible | changed: [localhost] => (item=3.0.8)
2024-12-05 02:39:04,874 p=1579080 u=root n=ansible | changed: [localhost] => (item=3.1.0)
2024-12-05 02:39:05,410 p=1579080 u=root n=ansible | changed: [localhost] => (item=3.1.1)
2024-12-05 02:39:05,981 p=1579080 u=root n=ansible | changed: [localhost] => (item=3.1.3)
2024-12-05 02:39:06,598 p=1579080 u=root n=ansible | changed: [localhost] => (item=3.1.4)
2024-12-05 02:39:07,122 p=1579080 u=root n=ansible | changed: [localhost] => (item=3.1.5)
2024-12-05 02:39:07,644 p=1579080 u=root n=ansible | changed: [localhost] => (item=3.1.7)
2024-12-05 02:39:08,179 p=1579080 u=root n=ansible | changed: [localhost] => (item=3.2.0)
2024-12-05 02:39:08,692 p=1579080 u=root n=ansible | changed: [localhost] => (item=3.2.2)
2024-12-05 02:39:09,220 p=1579080 u=root n=ansible | changed: [localhost] => (item=3.2.4)
2024-12-05 02:39:09,717 p=1579080 u=root n=ansible | changed: [localhost] => (item=3.2.5)
2024-12-05 02:39:10,285 p=1579080 u=root n=ansible | changed: [localhost] => (item=3.2.7)
2024-12-05 02:39:10,779 p=1579080 u=root n=ansible | changed: [localhost] => (item=3.3.0)
2024-12-05 02:39:11,271 p=1579080 u=root n=ansible | changed: [localhost] => (item=3.3.1)
2024-12-05 02:39:11,768 p=1579080 u=root n=ansible | changed: [localhost] => (item=3.3.2)
2024-12-05 02:39:12,259 p=1579080 u=root n=ansible | changed: [localhost] => (item=3.3.3)
2024-12-05 02:39:12,743 p=1579080 u=root n=ansible | changed: [localhost] => (item=3.3.5)
2024-12-05 02:39:13,231 p=1579080 u=root n=ansible | changed: [localhost] => (item=3.4.0)
2024-12-05 02:39:13,794 p=1579080 u=root n=ansible | changed: [localhost] => (item=3.4.1)
2024-12-05 02:39:14,317 p=1579080 u=root n=ansible | changed: [localhost] => (item=3.4.3)
2024-12-05 02:39:14,829 p=1579080 u=root n=ansible | changed: [localhost] => (item=3.4.5)
2024-12-05 02:39:15,332 p=1579080 u=root n=ansible | changed: [localhost] => (item=3.5.0)
2024-12-05 02:39:15,825 p=1579080 u=root n=ansible | changed: [localhost] => (item=3.5.1)
2024-12-05 02:39:16,338 p=1579080 u=root n=ansible | changed: [localhost] => (item=3.6.0)
2024-12-05 02:39:16,827 p=1579080 u=root n=ansible | changed: [localhost] => (item=3.6.1)
2024-12-05 02:39:17,352 p=1579080 u=root n=ansible | changed: [localhost] => (item=3.7.0)
2024-12-05 02:39:17,831 p=1579080 u=root n=ansible | changed: [localhost] => (item=3.7.1)
